"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"PD4EC6LX","journalArticle","2025","Abdul-Zahra, Amar S.; Al-Haddad, Luttfi A.; Abdulsahib, I.A.; Kraiem, Habib; Flah, Aymen","Sustainable thermal load prediction in residential buildings using machine learning: A case study analysis","Results in Engineering","","25901230","10.1016/j.rineng.2025.106872","https://linkinghub.elsevier.com/retrieve/pii/S2590123025029354","Accurate prediction of cooling load requirements in residential buildings is vital for energy-efficient HVAC system operation, especially in hot and humid climates. This study developed a hybrid framework integrating theoretical modeling with machine learning (ML) to forecast daily cooling loads for two monitored rooms (C1 and C3) using comprehensive environmental data collected over a full year. The dataset included hourly measurements of indoor temperature and humidity, outdoor temperature, relative humidity (RH), and wind speed. Theoretical cooling load values were calculated using heat transfer equations, serving as ground truth for model training. Two supervised ML algorithms—k-Nearest Neighbors (kNN) and Support Vector Machines (SVM)—were trained on calculated features to predict cooling loads. Results showed that the SVM model outperformed kNN in both rooms, achieving a coefficient of determination (R2) of 0.9783 with RMSE of 117.41 kWh and CVRMSE of 5.107 % for Room C1, and an R2 of 0.9639 with RMSE of 77.13 kWh and CVRMSE of 5.851 % for Room C3. Comparative bar plots and regression analyses further validated model accuracy, revealing high alignment between predicted and theoretical values. This hybrid methodology demonstrates potential for datadriven cooling load forecasting and paves the way for smart, predictive HVAC control strategies in sustainable building environments.","2025-09","2025-10-30 09:04:31","2025-10-30 09:04:31","2025-10-29 17:22:23","106872","","","27","","Results in Engineering","Sustainable thermal load prediction in residential buildings using machine learning","","","","","","","en","","","","","DOI.org (Crossref)","","","<div data-schema-version=""9""><p>The study evaluates multiple machine learning algorithms (Random Forest, Gradient Boosting, and Regression models) for predicting thermal loads in residential HVAC systems. It focuses on sustainability and energy efficiency through accurate demand forecasting using real measurement data. Results emphasize model comparison and data-driven insights for smart building energy management.</p> </div>","","","Building energy modeling; case study; Energy efficiency; forecasting models; gradient boosting; hvac; machine learning; Model predictive control; performance evaluation; random forest; real data; regression; residential; sustainability; Thermal management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6QEBUWRC","journalArticle","2018","Ahmad, Tanveer; Chen, Huanxin; Guo, Yabin; Wang, Jiangyu","A comprehensive overview on the data driven and large scale based approaches for forecasting of building energy demand: A review","Energy and Buildings","","03787788","10.1016/j.enbuild.2018.01.017","https://linkinghub.elsevier.com/retrieve/pii/S0378778817329225","Energy consumption models play an integral part in energy management and conservation, as it pertains to buildings. It can assist in evaluating building energy eﬃciency, in carrying out building commissioning, and in identifying and diagnosing building system faults. This review takes an in-depth look at energydemand prediction models for buildings in that it delves into recent developments in building energy approaches used to predict energy usage. By enlisting current approaches to the modelling of buildings, methods for building energy simulations can be categorized into four level classes as follows: (i) datadriven approaches; (ii) physics-based approaches; (iii) large scale building energy forecasting approaches; and (iv) hybrid approaches. The focus of this review is to target the data-driven approach and largescale building energy predicting-based approaches. Here the data driven approaches can be categorized by (1) artiﬁcial neural network based approaches; (2) clustering based approaches; (3) statistical and machine learning-based approaches; and (4) support vector machine based approaches. From there, the type of data-driven based approach is further grouped by (a) benchmarking models; (b) energy-mapping models; (c) energy forecasting models; and (d) energy proﬁling models. Large-scale building-energy prediction techniques is then categorized as follows: (1) white-box based approaches; (2) black-box based approaches, and (3) grey-box based approaches. The current study explores ﬁrst-rate data-driven based approaches about building energy analysis for industrial, commercial, domestic, etc., within a rural and urban setting. This review paper is based on the necessity of identifying points of departure and research opportunities for urban and rural-level analyses of building level energy performance. A variety of issues are explored which include: energy performance metrics; end-use of different building types; multiple levels of granularity; and urban and rural scales. Each technique encompasses a variety of input information as well as varying calculations or simulation models along with furnishing contrasting outcomes that suggest a variety of usages. A thorough review of each technique is presented in this study. This review highlights strengths, shortcomings, and purpose of the methods of numerous data-mining based approaches. A comprehensive review of energy forecasting models that are speciﬁed in the literature part is also provided.","2018-04","2025-10-30 09:04:31","2025-10-30 09:04:31","2025-10-29 17:20:54","301-320","","","165","","Energy and Buildings","A comprehensive overview on the data driven and large scale based approaches for forecasting of building energy demand","","","","","","","en","","","","","DOI.org (Crossref)","","","<div data-schema-version=""9""><p>This comprehensive review categorizes and compares major data-driven and large-scale modeling approaches for forecasting building energy demand. It discusses regression, ANN, SVM, and clustering-based methods, as well as large-scale urban forecasting models. The paper highlights strengths and limitations of each technique and identifies future research needs for hybrid, scalable, and data-driven frameworks for urban and rural energy systems.</p> </div>","","","benchmarking; Building energy modeling; clustering; data-driven models; energy forecasting; hybrid models; Machine learning; model comparison; neural netwrok; regression; review; statistical models; support-vector-machine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8DI7SWM2","journalArticle","2025","Bozorgi, Mehran; Tasnim, Syeda Humaira; Mahmud, Shohel","Machine learning-driven hybrid cooling system for enhanced energy efficiency in multi-unit residential buildings","Energy and Buildings","","03787788","10.1016/j.enbuild.2025.115613","https://linkinghub.elsevier.com/retrieve/pii/S0378778825003433","The rising demand for energy-efficient cooling systems in Multi-Unit Residential Buildings (MURBs) presents a challenge, as traditional centralized systems often lead to excessive energy consumption, especially during peak demand periods. Addressing this issue requires innovative solutions that can reduce both the size of the central system and overall energy use, while still maintaining thermal comfort for occupants. This study proposes a novel hybrid cooling system that combines a central cooling system with localized thermoelectric coolers. A key innovation in this research is the use of a Machine Learning (ML) model to predict real-time cooling loads based on factors such as temperature, humidity, solar radiation, and occupancy. The system was evaluated through simulations conducted for a 40-unit MURB in Toronto, Canada, over the summer months. System components included solar evacuated tube collectors, absorption chillers, phase change material storage, and thermoelectric coolers. Cooling load analysis revealed that the building operates near peak capacity for less than 10 % of the time, underscoring the potential for hybrid system optimization. A Machine Learning model was developed to control the operation of the thermoelectric coolers, achieving a high R-squared value (R2 = 0.9937) and a SMAPE of 15.87 %, ensuring accurate cooling load predictions. Results showed that both the central and hybrid systems provided acceptable thermal comfort, with PMV and PPD values within acceptable ranges. However, the hybrid system demonstrated higher energy efficiency, achieving a COP of 1.36 compared to 1.28 for the central system. These findings establish the hybrid cooling system, integrated with ML-based control, as a viable and sustainable solution for reducing energy consumption and enhancing cooling performance in residential buildings.","2025-06","2025-10-30 09:04:31","2025-10-30 09:04:31","2025-10-29 17:22:31","115613","","","336","","Energy and Buildings","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","Energy efficiency; hybrid models; Machine learning; Multi setpoint control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G65CGQZL","journalArticle","2024","Chang, Qiankun; Huang, Yuanfeng; Liu, Kaiyan; Xu, Xin; Zhao, Yaohua; Pan, Song","Optimization Control Strategies and Evaluation Metrics of Cooling Systems in Data Centers: A Review","Sustainability","","2071-1050","10.3390/su16167222","https://www.mdpi.com/2071-1050/16/16/7222","In the age of digitalization and big data, cooling systems in data centers are vital for maintaining equipment efficiency and environmental sustainability. Although many studies have focused on the classification and optimization of data center cooling systems, systematic reviews using bibliometric methods are relatively scarce. This review uses bibliometric analysis to explore the classifications, control optimizations, and energy metrics of data center cooling systems, aiming to address research gaps. Using CiteSpace and databases like Scopus, Web of Science, and IEEE, this study maps the field’s historical development and current trends. The findings indicate that, firstly, the classification of cooling systems, optimization strategies, and energy efficiency metrics are the current focal points. Secondly, this review assesses the applicability of air-cooled and liquid-cooled systems in different operational environments, providing practical guidance for selection. Then, for air cooling systems, the review demonstrates that optimizing the design of static pressure chamber baffles has significantly improved airflow uniformity. Finally, the article advocates for expanding the use of artificial intelligence and machine learning to automate data collection and energy efficiency analysis, it also calls for the global standardization of energy efficiency metrics. This study offers new perspectives on the design, operational optimization, and performance evaluation of data center cooling systems.","2024-01","2025-10-30 09:04:31","2025-10-30 09:04:31","2025-10-29 17:25:03","7222","","16","16","","","Optimization Control Strategies and Evaluation Metrics of Cooling Systems in Data Centers","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Publisher: Multidisciplinary Digital Publishing Institute","<div data-schema-version=""9""><p>This review provides a comprehensive bibliometric and qualitative analysis of optimization control strategies and energy efficiency evaluation metrics for data center cooling systems. It classifies air and liquid cooling technologies, summarizes optimization and control approaches (PID, MPC, RL), and evaluates indicators such as PUE and its extensions. Using CiteSpace and bibliometric mapping, it identifies current research hotspots and future directions for sustainable, intelligent, and standardized cooling system evaluation.</p> </div>","","","air cooling; classification; hvac; pid control; reinforcment learning; review","bibliometrics; control strategy optimization; cooling system; data center; energy efficiency assessment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RPYVB68K","journalArticle","2024","Chatlatanagulchai, Withit; Chantrapornchai, Chantana","Energy consumption data collection: case study on data center in a Thai University","Energy Informatics","","2520-8942","10.1186/s42162-024-00327-1","https://doi.org/10.1186/s42162-024-00327-1","Energy usage in has been increased due to the rising demand of cloud infrastructure. The government policy has been focused on building the green IT data center. The energy data need to be collected in order to monitor the energy usage. However, in an old typical data center, the building has been built with no support of such data collection. In this research, we aim to design the energy data collection system for our existing data center, a case study of data center in Thailand at the university. Based on the collected data, an energy usage monitoring system and prediction can be developed.","2024-04-17","2025-10-30 09:04:31","2025-10-30 09:04:31","2025-10-29 17:26:56","26","","1","7","","Energy Inform","Energy consumption data collection","","","","","","","en","","","","","Springer Link","","","<div data-schema-version=""9""><p>This data paper presents the design and implementation of an energy data collection and monitoring system for a university data center in Thailand. It details the setup of 25 installed meters, data logging infrastructure, database design, and data visualization using Grafana. The dataset enables machine learning–based prediction (regression, ARIMA) for energy forecasting and policy analysis toward efficient and sustainable IT infrastructure management.</p> </div>","","","arima; case study; crac; dataset; forecasting models; hvac; Machine learning; open-data; regression","Data center; Energy consumption; Energy dataset","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E8U5CK32","conferencePaper","2024","Chen, Lei; Li, Xiaoli; Wang, Kang; Yu, Xiaowei","Optimization of Energy Efficiency of Data Center Cooling Systems","2024 36th Chinese Control and Decision Conference (CCDC)","","","10.1109/CCDC62350.2024.10587605","https://ieeexplore.ieee.org/abstract/document/10587605","As of 2018, China had more than 550,000 data centers, accounting for approximately 1.5% of the country’s total annual electricity consumption. Reducing energy consumption not only lowers costs but also aligns with environmental protection principles. Current research primarily focuses on IT equipment and air conditioning and refrigeration systems, as these components offer significant potential for energy savings. Instead of making adjustments to the original space environment and hardware facilities of the data center, this study proposes an energy efficiency optimization model by regulating the set values and parameters of the cooling system. This approach is particularly valuable given the increasing emphasis on energy efficiency in data centers. The cooling system of a data center is highly complex, with multiple variables, high feature dimension, time-varying working conditions, and strong uncertainty. This study employs an artificial neural network to model the energy efficiency (PUE) of a data center, using data collected from the operation of the cooling system in a data center in southwest China. Subsequently, an evolutionary algorithm is used to analyze and optimize the cooling system, controlling the set values to enhance the energy efficiency of the data center.","2024-05","2025-10-30 09:04:31","2025-10-30 09:04:31","2025-10-29 17:27:24","76-81","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 1948-9447","<div data-schema-version=""9""><p>This study develops an intelligent prediction and optimization framework for enhancing data center energy efficiency. An Artificial Neural Network (ANN) models the Power Usage Effectiveness (PUE) using operational data, while an Evolutionary Search algorithm optimizes set points of cooling system parameters (e.g., chiller temperature, pump frequency, airflow). The approach achieves reduced PUE without hardware modifications and demonstrates effectiveness through a real-world implementation in a South China data center.</p> </div>","","","ai-driven-control; china; paremeter-tuning","artificial neural network; cooling system; data center; Data centers; Energy efficiency; evolutionary algorithm; Hardware; Optimization models; PUE; Refrigeration; Space cooling; Uncertainty","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 36th Chinese Control and Decision Conference (CCDC)","","","","","","","","","","","","","","",""
"QNH7YVZZ","journalArticle","2022","Chen, Yongbao; Guo, Mingyue; Chen, Zhisen; Chen, Zhe; Ji, Ying","Physical energy and data-driven models in building energy prediction: A review","Energy Reports","","23524847","10.1016/j.egyr.2022.01.162","https://linkinghub.elsevier.com/retrieve/pii/S2352484722001615","The difficulty in balancing energy supply and demand is increasing due to the growth of diversified and flexible building energy resources, particularly the rapid development of intermittent renewable energy being added into the power grid. The accuracy of building energy consumption prediction is of top priority for the electricity market management to ensure grid safety and reduce financial risks. The accuracy and speed of load prediction are fundamental prerequisites for different objectives such as long-term planning and short-term optimization of energy systems in buildings and the power grid. The past few decades have seen the impressive development of time series load forecasting models focusing on different domains and objectives. This paper presents an in-depth review and discussion of building energy prediction models. Three widely used prediction approaches, namely, building physical energy models (i.e., white box), data-driven models (i.e., black box), and hybrid models (i.e., grey box), were classified and introduced. The principles, advantages, limitations, and practical applications of each model were investigated. Based on this review, the research priorities and future directions in the domain of building energy prediction are highlighted. The conclusions drawn in this review could guide the future development of building energy prediction, and therefore facilitate the energy management and efficiency of buildings.","2022-11","2025-10-30 09:04:31","2025-10-30 09:04:31","2025-10-29 17:20:27","2656-2671","","","8","","Energy Reports","Physical energy and data-driven models in building energy prediction","","","","","","","en","","","","","DOI.org (Crossref)","","","<div data-schema-version=""9""><p>This review systematically compares physical, empirical, and data-driven approaches to building energy prediction. It analyzes the advantages and limitations of simulation-based and ML-based methods, emphasizing hybrid frameworks that combine physical interpretability with data-driven accuracy. The paper reviews model calibration, uncertainty quantification, and applications for urban energy management.</p> </div>","","","Building energy modeling; calibration; energy forecasting; Machine learning; review; simulation; urban","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S2WRB4UF","journalArticle","2022","Chiosa, Roberto; Piscitelli, Marco Savino; Fan, Cheng; Capozzoli, Alfonso","Towards a self-tuned data analytics-based process for an automatic context-aware detection and diagnosis of anomalies in building energy consumption timeseries","Energy and Buildings","","03787788","10.1016/j.enbuild.2022.112302","https://linkinghub.elsevier.com/retrieve/pii/S037877882200473X","Recently, the spread of IoT technologies has led to an unprecedented acquisition of energy-related data providing accessible knowledge on the actual performance of buildings during their operation. A proper analysis of such data supports energy and facility managers in spotting valuable energy saving opportunities. In this context, anomaly detection and diagnosis (ADD) tools allow a prompt and automatic recognition of abnormal and non-optimal energy performance patterns enabling a better decision-making to reduce energy wastes and system inefﬁciencies. To this aim, this paper introduces a novel meter-level ADD process capable to identify energy consumption anomalies at meter-level and perform diagnosis by exploiting information at sub-load level. The process leverages supervised and unsupervised analytics techniques coupled with the distance-based contextual matrix proﬁle (CMP) algorithm to discover infrequent subsequences in energy consumption timeseries considering speciﬁc boundary conditions. The proposed process has self-tuning capabilities and can rank anomalies at both meter and sub-load level by means of robust severity score. The methodology is tested on one-year energy consumption timeseries of a medium/low voltage transformation cabin of the university campus of Politecnico di Torino leading to the detection of 55 anomalous subsequences that are diagnosed by analysing a group of 8 different sub-loads.","2022-09","2025-10-30 09:04:31","2025-10-30 09:04:31","2025-10-29 17:22:19","112302","","","270","","Energy and Buildings","","","","","","","","en","","","","","DOI.org (Crossref)","","","<div data-schema-version=""9""><p>Introduces a self-tuned, data-driven anomaly detection and diagnosis (ADD) process for building energy consumption timeseries using contextual matrix profile (CMP). The method automatically detects and diagnoses anomalies at meter and sub-load levels, enabling more intelligent energy management through IoT-based analytics and unsupervised learning.</p> </div>","","","anomaly detection; arima; Building energy modeling; data analytics; data-driven models; fault detection; iot; Machine learning; Time series forecasting; unsupervised learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46P3BLVM","journalArticle","2014","Fan, Cheng; Xiao, Fu; Wang, Shengwei","Development of prediction models for next-day building energy consumption and peak power demand using data mining techniques","Applied Energy","","03062619","10.1016/j.apenergy.2014.04.016","https://linkinghub.elsevier.com/retrieve/pii/S0306261914003596","This paper presents a data mining (DM) based approach to developing ensemble models for predicting next-day energy consumption and peak power demand, with the aim of improving the prediction accuracy. This approach mainly consists of three steps. Firstly, outlier detection, which merges feature extraction, clustering analysis, and the generalized extreme studentized deviate (GESD), is performed to remove the abnormal daily energy consumption proﬁles. Secondly, the recursive feature elimination (RFE), an embedded variable selection method, is applied to select the optimal inputs to the base prediction models developed separately using eight popular predictive algorithms. The parameters of each model are then obtained through leave-group-out cross validation (LGOCV). Finally, the ensemble model is developed and the weights of the eight predictive models are optimized using genetic algorithm (GA).","2014-08","2025-10-30 09:04:31","2025-10-30 09:04:31","2025-10-29 17:19:37","1-10","","","127","","Applied Energy","","","","","","","","en","","","","","DOI.org (Crossref)","","","<div data-schema-version=""9""><p>Presents a hybrid data mining framework combining outlier detection, recursive feature elimination, and ensemble learning (ARIMA, SVR, RF, MLP, GA). The model predicts next-day energy use and peak demand with high accuracy and demonstrates the strength of data-driven ensemble approaches for smart building management.</p> </div>","","","arima; Building energy modeling; clustering; data mining; forecasting models; Machine learning; neural netwrok; outlier; random forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HX8YVV3L","journalArticle","2022","Khalil, Mohamad; McGough, A. Stephen; Pourmirza, Zoya; Pazhoohesh, Mehdi; Walker, Sara","Machine Learning, Deep Learning and Statistical Analysis for forecasting building energy consumption — A systematic review","Engineering Applications of Artificial Intelligence","","09521976","10.1016/j.engappai.2022.105287","https://linkinghub.elsevier.com/retrieve/pii/S0952197622003372","The building sector accounts for 36 % of the total global energy usage and 40% of associated Carbon Dioxide emissions. Therefore, the forecasting of building energy consumption plays a key role for different building energy management applications (e.g., demand-side management and promoting energy efficiency measures), and implementing intelligent control strategies. Thanks to the advancement of Internet of Things in the last few years, this has led to an increase in the amount of buildings energy related-data. The accessibility of this data has inspired the interest of researchers to utilize different data-driven approaches to forecast building energy consumption. In this study, we first present state of-the-art Machine Learning, Deep Learning and Statistical Analysis models that have been used in the area of forecasting building energy consumption. In addition, we also introduce a comprehensive review of the existing research publications that have been published since 2015. The reviewed literature has been categorized according to the following scopes: (I) building type and location; (II) data components; (III) temporal granularity; (IV) data pre-processing methods; (V) features selection and extraction techniques; (VI) type of approaches; (VII) models used; and (VIII) key performance indicators. Finally, gaps and current challenges with respect to data-driven building energy consumption forecasting have been highlighted, and promising future research directions are also recommended.","2022-10","2025-10-30 09:04:31","2025-10-30 09:04:31","2025-10-29 20:06:32","105287","","","115","","Engineering Applications of Artificial Intelligence","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","classification; Deep reinforcement learning; intelligent system; Machine learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
