"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JB6PEEA5","journalArticle","2022","Yang, Shiyu; Wan, Man Pun","Machine-learning-based model predictive control with instantaneous linearization–A case study on an air-conditioning and mechanical ventilation system","Applied Energy","","","","","","2022","2025-10-29 17:11:41","2025-10-30 08:23:00","","118041","","","306","","","","","","","","Elsevier","","","","","","","Google Scholar","","","","/Users/anastasijazubkova/Zotero/storage/8JDUFX3V/undefined","","case study; control strategy optimization; Machine learning; predictive control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SRDABQNQ","journalArticle","2021","Yang, Shiyu; Wan, Man Pun; Chen, Wanyu; Ng, Bing Feng; Dubey, Swapnil","Experiment study of machine-learning-based approximate model predictive control for energy-efficient building control","Applied Energy","","03062619","10.1016/j.apenergy.2021.116648","https://linkinghub.elsevier.com/retrieve/pii/S0306261921001811","The adoption of model predictive control (MPC) for building automation and control applications is challenged by the high hardware and software requirements to solve its optimization problem. This study proposes an approximate MPC that mimics the dynamic behaviours of MPC using the recurrent neural network with a structure of nonlinear autoregressive network with exogenous inputs. The approximate MPC is developed by learning from the measured operation data of buildings controlled by MPC, therefore it can produce MPC-like control for buildings without needing to solve the optimization problem, significantly reducing the computation load as compared to MPC. The proposed approximate MPC is implemented in two testbeds, an office and a lecture theatre, to control the air-conditioning systems. The control performance of the approximate MPC is compared to MPC as well as the original reactive control of the two testbeds. The approximate MPC retained most of the energy and thermal comfort performance of MPC in both testbeds. For the office, the MPC and approximate MPC reduced 58.5% and 51.6% of cooling energy consumption, respectively, as compared to the original control. For the lecture theatre, the MPC and approximate MPC reduced 36.7% and 36.2% of cooling energy consumption, respectively, as compared to the original control. Meanwhile, both approximate MPC and MPC significantly improved indoor thermal comfort in the two testbeds as compared to their original control. Despite having minor degradation in control performance the approximate MPC was more than 100 times faster than MPC in generating optimal control commands in each time step.","2021-04","2025-10-29 17:14:28","2025-10-29 19:21:39","2025-10-29 17:14:28","116648","","","288","","Applied Energy","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/anastasijazubkova/Zotero/storage/YEWF5RKI/Yang et al. - 2021 - Experiment study of machine-learning-based approximate model predictive control for energy-efficient.pdf","","Building energy modeling; Model predictive control; machine learning; hvac; reinforcment learning; real time control; experimental-study; adaptive control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TG26YV3D","journalArticle","2022","Lee, Hyeongseok; Heo, Yeonsook","Simplified data-driven models for model predictive control of residential buildings","Energy and Buildings","","03787788","10.1016/j.enbuild.2022.112067","https://linkinghub.elsevier.com/retrieve/pii/S0378778822002389","Owing to recent advancements in Internet of Things technologies, data-driven model predictive control (MPC) has received signiﬁcant research interest as a promising strategy to optimize building operation. As the MPC performance relies on the model prediction accuracy, complex building prediction models have been used in MPC applications, despite their high computational cost for optimization. This study examines whether linear-form prediction models are reliable to support the MPC of residential buildings equipped with single types of heating systems. This study developed linear-form models, namely an autoregressive with exogenous inputs (ARX) for predicting the indoor temperature and thresholdpiecewise models for the return and supply water temperatures. The MPC performance on the basis of the linear models was evaluated under varying prediction horizons and weights associated with objective attributes. A case study of a residential unit through the simulated virtual building showed that the proposed models achieved the high goodness-of ﬁt values greater than 0.9. The resulting MPC framework achieved heating energy savings up to approximately 12% relative to a simple on/off thermostat or reduction of comfort violation magnitude less than 0.5 °C. The inﬂuences of weight and prediction horizon on MPC performance were also investigated.","2022-06","2025-10-29 17:17:12","2025-10-29 19:00:38","2025-10-29 17:17:12","112067","","","265","","Energy and Buildings","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/anastasijazubkova/Zotero/storage/8ZTMBZXE/Lee and Heo - 2022 - Simplified data-driven models for model predictive control of residential buildings.pdf","","Building energy modeling; Model predictive control; residential; hvac; simulation; data-driven models; arx; thredhold model; linear-model","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"279IAT8E","journalArticle","2025","Xie, Lingyun; Shan, Kui; Tang, Hong; Wang, Shengwei","AI-empowered online control optimization for enhanced efficiency and robustness of building central cooling systems","Advances in Applied Energy","","26667924","10.1016/j.adapen.2025.100220","https://linkinghub.elsevier.com/retrieve/pii/S2666792425000149","Adopting Artificial Intelligence for optimizing building system controls has gained significant attention due to the growing emphasis on building energy efficiency. However, substantial gaps remain between academic research and the practical implementation of AI-based algorithms. Key factors hindering implementation include computational efficiency requirements and concerns about reliability in online applications. This paper addresses these challenges by presenting AI-empowered online control optimization technologies designed for practical implementation. A simplified deep learning-enabled Genetic Algorithm is developed to accelerate optimization processes, ensuring optimization intervals are short enough for online applications. This algorithm also significantly reduces CPU and memory usage, enabling deployment on miniaturized control station for field implementation. To enhance stability and reliability, a robust assurance scheme is introduced, which switches to expert knowledge-based control under abnormal conditions. Hardware-in-the-loop tests validate the proposed strategy’s computation efficiency, control performance and operational robustness using a physical smart station controlling a simulated real-time dynamic cooling system. Test results show that the optimal control strategy achieves 7.66 % energy savings and exhibits strong operational robustness.","2025-06","2025-10-29 17:17:54","2025-10-29 19:19:10","2025-10-29 17:17:54","100220","","","18","","Advances in Applied Energy","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/anastasijazubkova/Zotero/storage/HZCALW99/Xie et al. - 2025 - AI-empowered online control optimization for enhanced efficiency and robustness of building central.pdf","","Optimization; hvac; ai-driven-control; hybrid models; real time control; deep-learning; practical","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CH24JTHY","journalArticle","2021","Mariano-Hernández, Deyslen; Hernández-Callejo, Luis; Solís, Martín; Zorita-Lamadrid, Angel; Duque-Perez, Oscar; Gonzalez-Morales, Luis; Santos-García, Felix","A Data-Driven Forecasting Strategy to Predict Continuous Hourly Energy Demand in Smart Buildings","Applied Sciences","","2076-3417","10.3390/app11177886","https://www.mdpi.com/2076-3417/11/17/7886","Smart buildings seek to have a balance between energy consumption and occupant comfort. To make this possible, smart buildings need to be able to foresee sudden changes in the building’s energy consumption. With the help of forecasting models, building energy management systems, which are a fundamental part of smart buildings, know when sudden changes in the energy consumption pattern could occur. Currently, different forecasting methods use models that allow building energy management systems to forecast energy consumption. Due to this, it is increasingly necessary to have appropriate forecasting models to be able to maintain a balance between energy consumption and occupant comfort. The objective of this paper is to present an energy consumption forecasting strategy that allows hourly day-ahead predictions. The presented forecasting strategy is tested using real data from two buildings located in Valladolid, Spain. Different machine learning and deep learning models were used to analyze which could perform better with the proposed strategy. After establishing the performance of the models, a model was assembled using the mean of the prediction values of the top ﬁve models to obtain a model with better performance.","2021-08-26","2025-10-29 17:18:57","2025-10-29 19:10:38","2025-10-29 17:18:57","7886","","17","11","","Applied Sciences","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/anastasijazubkova/Zotero/storage/3HA3LXL2/Mariano-Hernández et al. - 2021 - A Data-Driven Forecasting Strategy to Predict Continuous Hourly Energy Demand in Smart Buildings.pdf","","multi-step forecasting; smart building; Machine learning; Time series forecasting; energy demand; deep-learning; weather-data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"695A2ENB","journalArticle","2014","Fan, Cheng; Xiao, Fu; Wang, Shengwei","Development of prediction models for next-day building energy consumption and peak power demand using data mining techniques","Applied Energy","","03062619","10.1016/j.apenergy.2014.04.016","https://linkinghub.elsevier.com/retrieve/pii/S0306261914003596","This paper presents a data mining (DM) based approach to developing ensemble models for predicting next-day energy consumption and peak power demand, with the aim of improving the prediction accuracy. This approach mainly consists of three steps. Firstly, outlier detection, which merges feature extraction, clustering analysis, and the generalized extreme studentized deviate (GESD), is performed to remove the abnormal daily energy consumption proﬁles. Secondly, the recursive feature elimination (RFE), an embedded variable selection method, is applied to select the optimal inputs to the base prediction models developed separately using eight popular predictive algorithms. The parameters of each model are then obtained through leave-group-out cross validation (LGOCV). Finally, the ensemble model is developed and the weights of the eight predictive models are optimized using genetic algorithm (GA).","2014-08","2025-10-29 17:19:37","2025-10-29 18:51:45","2025-10-29 17:19:37","1-10","","","127","","Applied Energy","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/anastasijazubkova/Zotero/storage/TH2K6CZI/Fan et al. - 2014 - Development of prediction models for next-day building energy consumption and peak power demand usin.pdf","","forecasting models; Building energy modeling; Machine learning; random forest; clustering; neural netwrok; arima; data mining; outlier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7DHGH624","journalArticle","2022","Chen, Yongbao; Guo, Mingyue; Chen, Zhisen; Chen, Zhe; Ji, Ying","Physical energy and data-driven models in building energy prediction: A review","Energy Reports","","23524847","10.1016/j.egyr.2022.01.162","https://linkinghub.elsevier.com/retrieve/pii/S2352484722001615","The difficulty in balancing energy supply and demand is increasing due to the growth of diversified and flexible building energy resources, particularly the rapid development of intermittent renewable energy being added into the power grid. The accuracy of building energy consumption prediction is of top priority for the electricity market management to ensure grid safety and reduce financial risks. The accuracy and speed of load prediction are fundamental prerequisites for different objectives such as long-term planning and short-term optimization of energy systems in buildings and the power grid. The past few decades have seen the impressive development of time series load forecasting models focusing on different domains and objectives. This paper presents an in-depth review and discussion of building energy prediction models. Three widely used prediction approaches, namely, building physical energy models (i.e., white box), data-driven models (i.e., black box), and hybrid models (i.e., grey box), were classified and introduced. The principles, advantages, limitations, and practical applications of each model were investigated. Based on this review, the research priorities and future directions in the domain of building energy prediction are highlighted. The conclusions drawn in this review could guide the future development of building energy prediction, and therefore facilitate the energy management and efficiency of buildings.","2022-11","2025-10-29 17:20:27","2025-10-29 18:45:50","2025-10-29 17:20:27","2656-2671","","","8","","Energy Reports","Physical energy and data-driven models in building energy prediction","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/anastasijazubkova/Zotero/storage/JR78D9I5/Chen et al. - 2022 - Physical energy and data-driven models in building energy prediction A review.pdf","","Building energy modeling; Machine learning; simulation; review; energy forecasting; calibration; urban","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APTGCE73","journalArticle","2018","Ahmad, Tanveer; Chen, Huanxin; Guo, Yabin; Wang, Jiangyu","A comprehensive overview on the data driven and large scale based approaches for forecasting of building energy demand: A review","Energy and Buildings","","03787788","10.1016/j.enbuild.2018.01.017","https://linkinghub.elsevier.com/retrieve/pii/S0378778817329225","Energy consumption models play an integral part in energy management and conservation, as it pertains to buildings. It can assist in evaluating building energy eﬃciency, in carrying out building commissioning, and in identifying and diagnosing building system faults. This review takes an in-depth look at energydemand prediction models for buildings in that it delves into recent developments in building energy approaches used to predict energy usage. By enlisting current approaches to the modelling of buildings, methods for building energy simulations can be categorized into four level classes as follows: (i) datadriven approaches; (ii) physics-based approaches; (iii) large scale building energy forecasting approaches; and (iv) hybrid approaches. The focus of this review is to target the data-driven approach and largescale building energy predicting-based approaches. Here the data driven approaches can be categorized by (1) artiﬁcial neural network based approaches; (2) clustering based approaches; (3) statistical and machine learning-based approaches; and (4) support vector machine based approaches. From there, the type of data-driven based approach is further grouped by (a) benchmarking models; (b) energy-mapping models; (c) energy forecasting models; and (d) energy proﬁling models. Large-scale building-energy prediction techniques is then categorized as follows: (1) white-box based approaches; (2) black-box based approaches, and (3) grey-box based approaches. The current study explores ﬁrst-rate data-driven based approaches about building energy analysis for industrial, commercial, domestic, etc., within a rural and urban setting. This review paper is based on the necessity of identifying points of departure and research opportunities for urban and rural-level analyses of building level energy performance. A variety of issues are explored which include: energy performance metrics; end-use of different building types; multiple levels of granularity; and urban and rural scales. Each technique encompasses a variety of input information as well as varying calculations or simulation models along with furnishing contrasting outcomes that suggest a variety of usages. A thorough review of each technique is presented in this study. This review highlights strengths, shortcomings, and purpose of the methods of numerous data-mining based approaches. A comprehensive review of energy forecasting models that are speciﬁed in the literature part is also provided.","2018-04","2025-10-29 17:20:54","2025-10-29 18:37:45","2025-10-29 17:20:54","301-320","","","165","","Energy and Buildings","A comprehensive overview on the data driven and large scale based approaches for forecasting of building energy demand","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/anastasijazubkova/Zotero/storage/ZVHZKXCM/Ahmad et al. - 2018 - A comprehensive overview on the data driven and large scale based approaches for forecasting of buil.pdf","","Building energy modeling; Machine learning; regression; review; energy forecasting; data-driven models; statistical models; clustering; support-vector-machine; neural netwrok; hybrid models; benchmarking; model comparison","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MKGVERBF","journalArticle","2022","Lin, Jing; Fernández, Julián A.; Rayhana, Rakiba; Zaji, Amirhossein; Zhang, Ran; Herrera, Omar E.; Liu, Zheng; Mérida, Walter","Predictive analytics for building power demand: Day-ahead forecasting and anomaly prediction","Energy and Buildings","","03787788","10.1016/j.enbuild.2021.111670","https://linkinghub.elsevier.com/retrieve/pii/S0378778821009543","The power demand forecast for buildings can generate useful day-ahead predictions in power system planning and operation. However, the information in the forecast needs to be interpreted by a person with domain expertise. Moreover, automated interpretation of upcoming abnormal behaviors needs ground-truth labeling, but labels are not always available from power meter data. In this paper, we propose a novel Predictive Power Demand Analytics Methodology (PPDAM), based on deep neural networks and symbolic aggregate approximation, to predict the pattern proﬁle of power demand in a building and upcoming normal (motif) and anomalous (discord) behaviors. The experimental results indicate that a power forecast could be mapped as different foreseeable demand patterns, each with a speciﬁc probability of occurrence. The reliability of anomaly prediction is evaluated by a classiﬁcation test of which the accuracy is 88% and the F1 score is 87.38%. The outcomes of this work could provide building operators with a solution to derive latent information in power consumption data. The derived information could be used to improve the working conditions of the building’s power system.","2022-01","2025-10-29 17:21:06","2025-10-29 19:03:07","2025-10-29 17:21:06","111670","","","255","","Energy and Buildings","Predictive analytics for building power demand","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/anastasijazubkova/Zotero/storage/VBDI32BV/Lin et al. - 2022 - Predictive analytics for building power demand Day-ahead forecasting and anomaly prediction.pdf","","forecasting models; smart building; Time series forecasting; anomaly detection; predictive-analytics; power-demand; pattern-mining; non-residential","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VRHFWXKT","journalArticle","2023","Mascali, Lorenzo; Schiera, Daniele Salvatore; Eiraudo, Simone; Barbierato, Luca; Giannantonio, Roberta; Patti, Edoardo; Bottaccioli, Lorenzo; Lanzini, Andrea","A machine learning-based Anomaly Detection Framework for building electricity consumption data","Sustainable Energy, Grids and Networks","","23524677","10.1016/j.segan.2023.101194","https://linkinghub.elsevier.com/retrieve/pii/S2352467723002023","A suboptimal management or system malfunction can often lead to abnormal energy consumptions in buildings, which result in a significant waste of energy. For this reason, the adoption of advanced monitoring systems, based on Machine Learning (ML) and visualization techniques, is crucial to avoid possible deviations from the baseline energy consumption. However, the historical data on which analyses are based generally do not report the occurrence of anomalies. Therefore, the application of supervised ML techniques is limited and unsupervised approaches are favored. Moreover, domain experts find most Machine Learning (ML) techniques hard to interpret, and thus find it difficult to contextualize anomalies. To overcome these issues, this work proposes a machine learning-based Anomaly Detection Framework (ADF) that involves the use of two complementary semi-supervised ML applications to obtain a highly interpretable and accurate detection of anomalies. Both techniques use Symbolic Aggregate approXimation (SAX) encoding to extract the most relevant information from load profiles. The aim of the first approach is to maximize the interpretability of the definition and distinction between anomalous and normal behavior. This is achieved using a Classification And Regression Tree (CART), albeit at the expense of a coarser output granularity. The second approach exploits an Multi-Layer Perceptron (MLP) algorithm to obtain a higher and more accurate output resolution, although it leads to a less interpretable definition of any anomalous behavior. The ADF has been applied to a real case study using electricity consumption data provided by a large telecommunications service provider. The results show that combining both ML models enhances the accuracy and interpretability of the detected anomalies.","2023-12","2025-10-29 17:21:21","2025-10-29 19:11:51","2025-10-29 17:21:21","101194","","","36","","Sustainable Energy, Grids and Networks","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/anastasijazubkova/Zotero/storage/7JWA2PU6/Mascali et al. - 2023 - A machine learning-based Anomaly Detection Framework for building electricity consumption data.pdf","","Telecommunications; anomaly detection; semi-supervised learning; cart; energy monitoring; contextual-anomalies; mlp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
